#{"t_start": 1779091296.1680708, "env_id": "None"}
r,l,t
-14.433365,14,4.898449
-13.382361,14,4.89991
-19.543274,21,4.902033
-21.803066,20,4.904051
-20.535527,22,4.906255
-28.469796,22,4.908443
-25.054124,20,4.910467
-17.242428,15,4.912011
-19.707354,18,4.913822
-13.514455,15,4.915358
-19.180492,16,4.917007
-15.777139,15,4.918546
-21.692824,17,4.920257
-20.435848,16,4.921887
-27.158706,22,4.98512
-18.029275,15,4.986658
-22.765766,23,4.988969
-25.161341,20,4.991617
-21.737554,18,4.993579
-20.658177,17,4.995413
-22.829126,18,4.997353
-20.333042,20,4.99951
-24.671161,19,5.001489
-13.965243,21,5.003712
-18.112837,15,5.005372
-15.895896,22,5.007721
-29.182481,23,5.010385
-21.14893,21,5.01259
-18.46131,15,5.014194
-28.985331,24,5.016818
-22.041993,17,5.01864
-23.256555,18,5.020529
-21.832368,20,5.022858
-22.940388,18,5.024708
-7.947669,12,5.025959
-29.676017,24,5.028366
-17.357515,18,5.03016
-20.935292,17,5.031853
-8.219077,15,5.033354
-17.833245,16,5.260835
-18.725696,15,5.262516
-21.280467,20,5.26462
-18.099165,15,5.266176
-26.895388,21,5.268319
-20.347246,23,5.270878
-17.436296,18,5.272763
-10.446581,24,5.275189
-9.917051,18,5.277053
-10.436642,24,5.279449
-11.208016,13,5.280805
-19.799916,16,5.282477
-21.786259,17,5.284265
-19.054002,19,5.286173
-12.091761,15,5.287726
-25.675242,20,5.289747
-23.638168,19,5.291658
-11.40413,24,5.29407
-17.875097,24,5.296733
-22.499678,24,5.299324
-17.899065,19,5.301333
-14.974456,24,5.303846
-17.891362,14,5.305316
-23.016986,18,5.307218
-21.871573,17,5.309039
-21.113244,23,5.311667
-9.502283,12,5.313021
-28.149845,24,5.315513
-19.742713,19,5.317463
-8.098521,14,5.318966
-22.068282,17,5.32069
-22.778305,20,5.322902
-21.635562,17,5.324883
-19.153998,15,5.326493
-13.112701,24,5.328975
-11.149591,14,5.33047
-13.090147,17,5.332267
-19.325628,15,5.333818
-11.239416,11,5.334999
-22.026776,17,5.337034
-16.485366,17,5.338819
-30.898221,24,5.341246
-18.51657,18,5.343089
-25.236035,20,5.345104
-25.517369,20,5.347105
-17.950059,19,5.349043
-26.952633,21,5.351203
-26.235252,22,5.353387
-18.522596,17,5.355103
-16.435212,24,5.35751
-18.079872,18,5.359303
-15.031856,24,5.361661
-20.272633,17,5.363501
-20.623446,17,5.365474
-21.667222,18,5.367486
-6.456,11,5.368638
-12.681713,13,5.369961
-13.155405,13,5.371294
-20.931784,23,5.373603
-9.510215,12,5.374981
-17.443734,15,5.376666
-16.561723,14,5.378209
-16.405251,14,5.379691
-24.244452,19,5.381762
-20.821137,20,5.383873
-26.925753,22,5.38611
-23.385066,18,5.387977
-6.942326,12,5.389297
-12.731409,24,5.391798
-13.553862,17,5.39354
-5.471238,12,5.394785
-17.435712,15,5.396301
-21.877531,21,5.398429
-15.032143,17,5.400169
-27.41802,23,5.40248
-18.615668,20,5.40459
-21.106911,17,5.406315
-11.910026,15,5.407855
-14.853236,14,5.409274
-27.260878,21,5.411372
-24.659583,24,5.413739
-12.444627,19,5.415768
-19.709507,17,5.417504
-20.796958,16,5.419137
-21.430588,20,5.421138
-24.572623,21,5.423227
-11.416998,16,5.42487
-13.950311,19,5.426762
-19.464811,17,5.428456
-19.183526,15,5.430141
-9.603296,21,5.432329
-19.630941,18,5.434187
-13.161596,17,5.435948
-12.759627,16,5.437612
-19.669815,16,5.439281
-19.470795,21,5.441414
-16.872554,20,5.443528
-8.182677,14,5.444964
-11.441304,24,5.447342
-22.9423,18,5.449166
-23.239839,19,5.451103
-27.96393,23,5.453377
-5.641515,10,5.45443
